id,app,category,one_liner,primary_auth,auth_methods,access,access_detail,api_style,api_breadth,mcp,mcp_url,webhooks,verdict,blocker,blocker_detail,composio_slug,confidence,evidence_urls
11,Zendesk,Support & Helpdesk,"Customer service suite: ticketing, help center, messaging, voice, and AI agents.",oauth2,oauth2|api_key|basic,self_serve_trial,"No free plan. A 14-day free trial gives all Customer Service Suite Professional features, and the API works within it. After the trial a paid plan is needed (Support Team from $19/agent/mo). The pricing page doesn't say which tiers include the API. Global OAuth clients for multi-customer apps are created in the admin center. I did not verify sandbox availability, which is likely limited to higher plans.",rest,broad,community,https://github.com/reminia/zendesk-mcp-server,True,build_with_friction,paid_plan,"No free tier. Testing is limited to a 14-day trial, after which a paid Zendesk plan is required. Per-tenant subdomains are needed for OAuth URLs.",zendesk,0.72,https://developer.zendesk.com/api-reference/introduction/security-and-auth/|https://developer.zendesk.com/api-reference/introduction/security-and-auth/|https://www.zendesk.com/pricing/|https://developer.zendesk.com/api-reference/|https://www.geckoboard.com/blog/zendesk-mcp-the-different-options-compared-2026/
12,Intercom,Support & Helpdesk,"Customer messaging and support platform with inbox, tickets, help center and Fin AI agent.",oauth2,oauth2|bearer_token,self_serve_free,"Free development workspaces are available with no paid plan needed (US-only, 20-user max, cannot become production). Public apps use OAuth 2.0 via the Developer Hub. Private apps use access tokens on an existing workspace. Production Intercom workspaces are paid, but building and testing is free. I did not check whether the OAuth app directory listing needs review.",rest,broad,official,https://mcp.intercom.com/mcp,True,build_now,none,"None. Webhooks are supported per my background knowledge; the overview page I opened did not cover them. The official MCP is mostly read-only with 13 tools, so a REST toolkit still adds value.",intercom,0.85,https://developers.intercom.com/docs/build-an-integration/learn-more/authentication|https://developers.intercom.com/docs/build-an-integration/getting-started|https://developers.intercom.com/docs/references/rest-api/api.intercom.io/introduction|https://developers.intercom.com/docs/guides/mcp
13,Freshdesk,Support & Helpdesk,"Cloud customer support helpdesk with ticketing, contacts, agents, and automation, by Freshworks.",api_key,api_key|basic|oauth2,self_serve_trial,"The pricing page lists no free plan. There is a 14-day trial with Enterprise-plan access. The API key comes from the user's profile settings and is sent over HTTP Basic. Docs say API access is role-based and rate-limited per plan (Blossom/Garden 3,000/hr). I did not find a per-plan API on/off gate; the pricing page does not say. Freshworks has an OAuth 2.0 flow for external apps, but I could not confirm it covers the Freshdesk v2 REST API, so I treat API key as primary.",rest,broad,official,https://support.freshdesk.com/support/solutions/articles/50000012670-model-context-protocol-mcp-integration-in-freshdesk-eap-,,build_with_friction,paid_plan,"There is no free plan, only a 14-day trial, so ongoing testing needs a paid Freshdesk account or repeated trials. Auth is per-account API key; OAuth for the v2 REST API is unconfirmed. I did not verify webhooks.",freshdesk,0.72,https://developers.freshdesk.com/api/|https://www.freshworks.com/freshdesk/pricing/|https://developers.freshdesk.com/api/|https://support.freshdesk.com/support/solutions/articles/50000012670-model-context-protocol-mcp-integration-in-freshdesk-eap-|https://support.freshdesk.com/support/solutions/articles/50000012670-model-context-protocol-mcp-integration-in-freshdesk-eap-
14,Front,Support & Helpdesk,"Shared inbox and customer communication platform for support teams across email, SMS and social channels.",oauth2,oauth2|bearer_token,self_serve_trial,"Front has no free tier. It offers a 14-day Professional trial with no credit card, and the OAuth app or API token is created inside a Front account. Creating apps requires company admin. The docs don't state a minimum plan for API access, so it's unverified whether the API stays available on Starter after the trial. Public App Store publishing requires notifying Front.",rest,broad,official,https://mcp.frontapp.com/mcp,True,build_with_friction,paid_plan,"There is no free tier. Testing needs a 14-day trial, then a paid plan (Starter is $25/seat/month) to keep a test workspace. OAuth is available to third-party apps with no documented approval step for development. Published App Store apps need Front's involvement.",front,0.65,https://dev.frontapp.com/docs/authentication|https://dev.frontapp.com/docs/create-and-manage-apps|https://front.com/pricing|https://dev.frontapp.com/reference/introduction|https://dev.frontapp.com/docs/mcp-server|https://dev.frontapp.com/docs/create-and-manage-apps
15,Pylon,Support & Helpdesk,"B2B support platform unifying Slack, email and chat support with issues, accounts, and AI agents.",bearer_token,bearer_token|oauth2,paid_plan_required,"API tokens are generated in the dashboard (Settings > API tokens) by a Pylon customer workspace. Pricing page shows only a demo-booking flow, with no public free tier or trial. Whether a sandbox or free dev account exists was not found. OAuth2 exists only for the hosted MCP server (AuthKit), not documented as a general third-party app OAuth for the REST API.",rest,moderate,official,https://mcp.usepylon.com,,build_with_friction,paid_plan,Pylon is sales-led (demo booking) with no visible free tier or self-serve signup. Getting a token requires a customer workspace. Webhooks were not verified.,,0.55,https://docs.usepylon.com/pylon-docs/developer/api/authentication.md|https://www.usepylon.com/pricing|https://docs.usepylon.com/pylon-docs/developer/api/api-reference|https://docs.usepylon.com/pylon-docs/integrations/pylon-mcp
16,LiveAgent,Support & Helpdesk,"Help desk and live chat platform with ticketing, contacts, and multichannel support.",api_key,api_key|bearer_token|oauth2,self_serve_trial,"No free plan. 30-day free trial with no credit card. API v3 keys are created by an admin in Configuration > System > API, and the pricing page lists API keys in every paid tier. Each account lives on its own domain (https://<domain>.ladesk.com/api/v3), so users must supply their domain plus key. OAuth 2.1 exists only for the built-in MCP server, not for the REST API.",rest,moderate,official,https://support.liveagent.com/647358-MCP-Integration-for-Agents,,build_with_friction,paid_plan,"Testing needs a 30-day trial, and production use needs a paid plan. There is no permanent free tier. Auth is per-account key plus a per-tenant domain, and there is no third-party OAuth for the REST API. I did not verify webhooks. A QualityUnit GitHub MCP repo also exists, and the vendor's built-in MCP is at /api/mcp.",,0.72,https://support.liveagent.com/741982-API-key|https://support.liveagent.com/741982-API-key|https://www.liveagent.com/pricing/|https://www.liveagent.com/pricing/|https://support.liveagent.com/741982-API-key|https://support.liveagent.com/647358-MCP-Integration-for-Agents
17,Plain,Support & Helpdesk,"API-first customer support platform for B2B teams, with a GraphQL API and threads/customers.",api_key,api_key|bearer_token,self_serve_trial,"Machine-user API keys are created in workspace settings. Pricing page shows a 7-day free trial with no credit card. It lists ""API"" under Extensibility but doesn't say which plans include it. I found no permanent free tier. I did not confirm whether API access is limited to paid tiers.",graphql,broad,official,https://mcp.plain.com/mcp,,build_with_friction,paid_plan,"Only a 7-day trial was found, with no free tier. The API docs describe only per-workspace API keys, not third-party OAuth, so each customer must generate and share a key. The official MCP uses OAuth, but for MCP clients, not a general third-party OAuth app program. The docs I opened did not mention webhooks; I did not check whether Plain offers them.",plain,0.6,https://www.plain.com/docs/graphql/authentication|https://www.plain.com/pricing|https://www.plain.com/docs/graphql/introduction|https://www.plain.com/docs/agents/mcp-server
18,Help Scout,Support & Helpdesk,"Shared-inbox customer support platform with conversations, customers, docs, and reporting.",oauth2,oauth2,self_serve_trial,"Pricing page lists API access only on Standard, Plus and Pro. The Free plan has no API access listed. Standard and Plus have a 15-day no-card trial. An OAuth app can be created in a trial account. I did not verify whether a trial account can create OAuth apps, or whether the Free plan actually blocks the API.",rest,moderate,official,https://mcp-beta.helpscout.net/,True,build_with_friction,paid_plan,"API access is listed only on paid plans (Standard $25/user/mo and up). The free plan shows none, so testing needs a 15-day trial or a paid seat.",help_scout,0.7,https://developer.helpscout.com/mailbox-api/overview/authentication/|https://www.helpscout.com/pricing/|https://www.helpscout.com/pricing/|https://developer.helpscout.com/mailbox-api/|https://articles.helpscout.com/blog/introducing-help-scout-mcp/
19,Gorgias,Support & Helpdesk,"Ecommerce-focused helpdesk and AI support agent, popular with Shopify brands.",oauth2,oauth2|api_key|basic,approval_required,"Private apps use an API key (HTTP Basic with account email + API key) from a trial or paid helpdesk. Public multi-tenant apps must use OAuth2: register on the Developer Portal, create a draft app, get a Sandbox/Developer-plan account by emailing Gorgias tech partners, and submit the app for review. Trial length and API availability on trial not confirmed.",rest,broad,official,https://docs.gorgias.com/en-US/connect-your-ai-assistant-to-the-gorgias-mcp-6310546,True,build_with_friction,app_review,Public OAuth2 apps require a draft app to obtain a sandbox (granted manually by Gorgias) and submission for review before listing. Private API-key use only needs a trial or paid helpdesk.,gorgias,0.7,https://developers.gorgias.com/reference/authentication|https://developers.gorgias.com/reference/authentication|https://developers.gorgias.com/docs/1-register-on-developer-portal|https://developers.gorgias.com/docs/1-register-on-developer-portal|https://developers.gorgias.com/reference/introduction|https://docs.gorgias.com/en-US/connect-your-ai-assistant-to-the-gorgias-mcp-6310546
20,Gladly,Support & Helpdesk,"Customer service platform with unified conversations, customer profiles, and AI agents for support teams.",basic,basic,partner_or_sales_gated,API tokens are created in the Gladly UI by a user an admin has granted the API User permission; the token is used as the Basic auth password with the agent email as username. Gladly is sold via sales contract with no found public signup or free tier. A sandbox exists at {organization}.gladly.qa but is tied to an existing customer org. Gating rests partly on absence of evidence of self-serve signup.,rest,broad,community,https://www.stackone.com/connectors/gladly/mcp/,True,blocked,enterprise_only,"Credentials require an existing paying Gladly customer org (sales contract); no free developer account or partner program was found. Tokens are per-user Basic auth, and no third-party OAuth is documented in the REST docs (the developer-platform marketing page mentions ""OAuth authentication"" only generically). Building requires a customer's org or sandbox.",,0.55,https://developer.gladly.com/rest/|https://help.gladly.com/docs/generate-api-tokens-and-create-webhooks|https://www.gladly.ai/gladly-developer-platform/|https://developer.gladly.com/rest/
21,Slack,Communications,"Team messaging platform with channels, DMs, files, canvases and workflow automation.",oauth2,oauth2|bearer_token,self_serve_free,"Anyone can create an app and install it via OAuth 2.0, and public distribution is possible without Marketplace listing. Constraint: since May 29, 2025, new commercially distributed apps not approved for the Marketplace get stricter rate limits on conversations.history and conversations.replies. Marketplace approval is recommended for commercial distribution. I did not open a page confirming a free developer sandbox or the free-workspace API limits, so those are unverified.",rest|websocket,broad,official,https://docs.slack.dev/ai/slack-mcp-server/,True,build_now,none,"No hard blocker. Soft friction: non-Marketplace commercial apps face tight rate limits on conversations.history and conversations.replies, so Marketplace review is advisable for production scale. The official MCP server is limited to Marketplace-published and internal apps, but the toolkit would use the Web API directly, so that does not block it.",slack,0.72,https://docs.slack.dev/authentication/|https://docs.slack.dev/apis/web-api/|https://docs.slack.dev/apis/web-api/|https://docs.slack.dev/distribution/|https://docs.slack.dev/apis/web-api/rate-limits|https://docs.slack.dev/ai/slack-mcp-server/
22,Twilio,Communications,"Cloud communications platform APIs for SMS, voice, video, WhatsApp, email and verification.",basic,basic|api_key,self_serve_trial,"Anyone can sign up for a free trial and get the same Account SID/Auth Token immediately. The trial expires after 30 days and is limited to verified numbers (up to 5) and the sign-up country. Full use needs a paid upgrade (pay-as-you-go). Twilio also publishes free test credentials, which I did not open, so I can't confirm what they cover. Sub-account and ISV/Connect-style multi-tenancy exists but I did not verify it. SMS in the US also needs A2P 10DLC registration for production, which I did not verify on a page.",rest,broad,official,https://github.com/twilio-labs/mcp,True,build_now,none,No OAuth for third-party apps was found on the pages I opened. Users supply an Account SID plus an API key or Auth Token. The free trial works for building but is time-limited (30 days) and restricted to verified recipients. Production use needs an upgrade and paid usage.,,0.72,https://www.twilio.com/docs/usage/requests-to-twilio|https://www.twilio.com/docs/usage/requests-to-twilio|https://www.twilio.com/docs/usage/tutorials/how-to-use-your-free-trial-account|https://www.twilio.com/docs/usage/tutorials/how-to-use-your-free-trial-account|https://www.twilio.com/docs/usage/api|https://github.com/twilio-labs/mcp
23,Zoho Cliq,Communications,"Team chat and collaboration platform from Zoho with channels, bots, and a REST API.",oauth2,oauth2,self_serve_free,"Anyone can register an OAuth client at the Zoho API developer console for free. Cliq has a Free plan whose pricing page lists API support and limited bots, functions and custom integrations. The docs don't say the REST API is paid-only. I did not check per-plan API rate limits or whether some endpoints (e.g. admin/org-level) need a paid plan.",rest,broad,official,https://www.zoho.com/cliq/help/platform/zoho-cliq-mcp.html,True,build_now,none,"No hard blocker found. Caveats: Zoho uses multiple data-center regions (.com, .eu, .in, etc.), so base URLs and OAuth endpoints vary per user. Free-plan limits apply.",,0.75,https://www.zoho.com/cliq/help/restapi/v2/|https://www.zoho.com/cliq/help/restapi/v2/|https://www.zoho.com/cliq/pricing.html|https://www.zoho.com/cliq/pricing.html|https://www.zoho.com/cliq/help/restapi/v2/
24,Lark (Larksuite),Communications,"Team collaboration suite: messaging, docs, calendar, approvals, and base, with a broad open platform API.",oauth2,oauth2|bearer_token,self_serve_free,"Anyone can create a custom app in the Developer Console and get App ID/Secret. Custom apps are single-tenant, so a test tenant is enough to build. Scopes need tenant admin approval. Multi-tenant distribution needs a Store App, which needs ISV certification and official review. I did not find pricing or plan gating for API access. Free Lark tenants appear to allow custom apps, but I did not verify this.",rest|websocket,broad,official,https://github.com/larksuite/lark-openapi-mcp,True,build_now,none,"Building and testing works today for free with a custom app in one tenant. Serving many customer tenants means publishing a Store App. That needs ISV certification and Lark's review. Each tenant admin must also approve scopes. Webhooks/events were not verified on a docs page, so that value comes from general knowledge.",,0.7,https://open.larksuite.com/llms.txt|https://open.larksuite.com/llms.txt|https://open.larksuite.com/document/home/app-types-introduction/self-built-apps-and-store-apps|https://open.larksuite.com/document/home/app-types-introduction/self-built-apps-and-store-apps|https://open.larksuite.com/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/message/create|https://github.com/larksuite/lark-openapi-mcp
25,Pumble,Communications,"Team chat and messaging app from CAKE.com with channels, DMs, and a free plan.",oauth2,api_key|oauth2,self_serve_free,"The API-keys addon is available on all plans, including Free, to Owner, Admin and Member roles. A user installs it via + Add apps and generates a key with no approval. The Pumble Apps SDK, which uses an app key and OAuth, is also self-serve, but I could not open its OAuth doc, so OAuth details are unverified from vendor pages.",rest,narrow,official,https://mcp.pumble.com/mcp,True,build_now,none,"No blocker for the API-key path. The main uncertainty is whether OAuth2 for third-party multi-workspace apps is publicly documented and self-serve. The official MCP server uses a user or bot token plus an x-app-token, not a standard OAuth flow.",pumble,0.55,https://pumble.com/learn/pumble/ai-automation-guide/|https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration/|https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration/|https://pumble.com/learn/pumble/ai-automation-guide/
26,Discord,Communications,"Chat platform with servers, channels, DMs and voice; REST API and bot gateway for apps.",oauth2,oauth2|bearer_token,self_serve_free,"Anyone can create an application and bot token in the Developer Portal at no cost. The docs I opened don't mention fees. Some OAuth2 scopes (voice, rpc, dm_channels.read) need Discord approval. From memory, not verified on a page I opened: bots in 100+ servers need verification, and privileged intents need approval. I did not open a pricing page.",rest|websocket,broad,community,https://github.com/SaseQ/discord-mcp,True,build_now,none,"No blocker for building and testing. Scale friction to expect: restricted scopes need Discord approval, and (from memory, unverified) bots in 100+ servers need verification. A user-level OAuth2 toolkit can't send messages as the user, so most actions need a bot token, and guild admins have to install that bot.",discord,0.72,https://docs.discord.com/developers/topics/oauth2|https://docs.discord.com/developers/reference|https://docs.discord.com/developers/topics/oauth2|https://docs.discord.com/developers/reference|https://github.com/SaseQ/discord-mcp
27,Telegram,Communications,"Messaging platform with a free Bot API for automating chats, channels, and groups.",bearer_token,bearer_token,self_serve_free,"Anyone can create a bot by messaging @BotFather and get a token instantly, free and with no approval. Bots act only as bots, not as user accounts. Acting as a user would need MTProto (TDLib) with api_id/hash and a user login, which I did not open.",rest,broad,community,https://github.com/chigwell/telegram-mcp,True,build_now,none,"No access blocker. Design caveat: there is no OAuth for acting on behalf of users. Each tenant must supply its own bot token, and bots can only message users who have started them. Community MCP servers found are mostly MTProto/Telethon user-account based. I found no official MCP.",telegram,0.9,https://core.telegram.org/bots/api|https://core.telegram.org/bots|https://core.telegram.org/bots|https://core.telegram.org/bots/api|https://core.telegram.org/bots/api|https://github.com/chigwell/telegram-mcp
28,WhatsApp Business,Communications,"Meta's WhatsApp Business Platform Cloud API for sending/receiving messages, templates, and media at scale.",oauth2,oauth2|bearer_token,approval_required,"Self-serve Meta developer signup gives a temporary token and test number for free. For multi-tenant use via Embedded Signup, the app needs Meta App Review (advanced access) and, for scale, Business Verification. Onboarding is capped at 10 customers per 7 days until verified. Customers must add a payment method, and template messages are charged per message.",rest,broad,official,https://techcrunch.com/2026/09/15/meta-now-lets-ai-agents-handle-the-boring-parts-of-whatsapp-business-setup/,True,build_with_friction,app_review,"Onboarding customers via Embedded Signup requires Meta App Review (advanced access) and Business Verification for scale. Each customer also needs a payment method for template messages. Development and testing work free with a test number. The official MCP is only known from TechCrunch coverage; I did not open Meta's own announcement or repo. It appears aimed at account setup rather than general messaging. I did not verify the OAuth details, and Embedded Signup issues business tokens rather than a classic OAuth flow.",,0.75,https://developers.facebook.com/docs/whatsapp/cloud-api/reference/messages|https://developers.facebook.com/docs/whatsapp/cloud-api/get-started|https://developers.facebook.com/docs/whatsapp/embedded-signup/overview|https://developers.facebook.com/docs/whatsapp/pricing|https://developers.facebook.com/docs/whatsapp/cloud-api/reference/messages|https://techcrunch.com/2026/09/15/meta-now-lets-ai-agents-handle-the-boring-parts-of-whatsapp-business-setup/
29,Aircall,Communications,"Cloud phone/call-center system with calls, SMS, contacts, and AI voice agents.",oauth2,oauth2|basic,approval_required,"OAuth2 client_id/client_secret are issued only after submitting a Technology Partner application form. Without that, a customer can generate api_id/api_token (Basic auth) in Company Settings, but this needs a paid Aircall account (Essentials $30/license/month, min 3 users). No free sandbox or dev account was found. The free trial covers only AI Voice Agent minutes. I did not find explicit docs on whether API access is gated by plan tier. The Enterprise tier lists ""API developer support"".",rest,moderate,community,https://github.com/themobilefirstco/aircall-mcp-server,True,build_with_friction,partner_approval,Multi-tenant OAuth2 requires acceptance into the Aircall Technology Partner program. Testing otherwise needs a paid Aircall account (min 3 users) with a customer-generated API key. No free sandbox was found.,,0.7,https://developers.aircall.io/api-references|https://developers.aircall.io/api-references|https://developers.aircall.io/api-references|https://aircall.io/pricing/|https://developers.aircall.io/api-references|https://github.com/themobilefirstco/aircall-mcp-server
30,Vonage,Communications,"Communications APIs for SMS, voice, messaging channels, verification, video, and number management.",api_key,api_key|jwt_or_service_account|basic,self_serve_free,"Self-serve signup gives free test credit (about €2) in demo mode. Demo mode limits sends to about 5 verified numbers, adds an SMS watermark, and blocks number purchases. Adding funds removes these limits. Building and testing works at $0 with no approval, but production use needs prepaid funds. Trial limits come from search snippets of the support article, which I did not open directly.",rest,broad,official,https://github.com/Vonage/vonage-mcp-server-documentation,True,build_now,none,"No hard blocker. Demo-mode limits (5 verified recipients, watermarked SMS, no number purchase) apply until funds are added. There is no OAuth for third-party apps, so each tenant supplies their own API key/secret or an application ID with a private key for JWTs. The vendor MCP servers are a documentation server and a tooling server in the Vonage-Community org. Whether the tooling server counts as official is unverified.",,0.72,https://developer.vonage.com/en/getting-started/concepts/authentication|https://developer.vonage.com/en/getting-started/concepts/authentication|https://developer.vonage.com/en/getting-started/overview|https://developer.vonage.com/en/api
